person_id,departure_time,from_x,from_y,to_x,to_y,simulated_travel_time,validated_travel_time,simulated_distance,validated_distance
178944,67608.0,341700.33499999996,5679420.3100000005,330439.755,5663427.68,1556.0,1563.0,24309.61000000001,29970.0
24434,71747.0,352786.17000000004,5674920.605,346970.84,5676276.655,702.0,862.0,7628.0199999999995,7594.0
86160,18413.0,341718.465,5679233.495,344998.56,5677113.325000001,512.0,669.0,5570.639999999999,5481.0
136832,51205.0,352128.60000000003,5675050.445,352811.335,5674569.7700000005,142.0,142.0,1297.07,1235.0
243813,62048.0,344790.585,5677473.045,343392.70499999996,5676096.300000001,356.0,365.0,2867.0700000000006,3284.0
187880,32030.0,371281.65,5680543.290000001,350670.36,5675655.845000001,1469.0,1748.0,25423.45,27744.0
168856,58843.0,341852.87,5676659.065,336924.16500000004,5675678.695,1276.0,1306.0,10099.220000000003,12279.0
122009,56576.0,357240.265,5670420.83,347671.195,5678756.175000001,1423.0,1538.0,16149.000000000007,15744.0
88214,58675.0,343805.76,5680246.715,339526.075,5677999.005000001,680.0,751.0,8151.92,9183.0
117716,64828.0,348126.72,5678993.805000001,350949.315,5677142.865,571.0,427.0,4025.48,3787.0
269051,45552.0,344816.005,5674361.805000001,345242.04500000004,5676754.615,645.0,505.0,3441.2899999999995,3130.0
129814,67844.0,341716.80500000005,5675834.11,338611.385,5680183.9350000005,1120.0,981.0,10957.350000000002,11324.0
119454,55697.0,346611.11,5677215.33,347218.22,5677846.86,149.0,219.0,1575.68,1393.0
221964,53305.0,346196.48,5682157.845000001,360415.03500000003,5698760.0600000005,1451.0,1081.0,24144.05,23931.0
204470,61043.0,361448.26,5640607.880000001,345939.41000000003,5678909.345000001,2797.0,3086.0,49622.54000000002,62266.0
125648,54655.0,373972.52,5680729.54,352695.44,5674957.5,1462.0,1858.0,25353.000000000004,28035.0
247307,32450.0,324529.155,5704686.08,342218.43000000005,5679203.99,2193.0,2276.0,40241.200000000004,44018.0
274917,54413.0,345761.485,5676711.555000001,365452.265,5621271.245000001,3407.0,3773.0,66735.28999999995,71724.0
150911,36865.0,357821.85500000004,5679772.835000001,347960.705,5676035.665000001,1450.0,1420.0,14777.339999999998,14132.0
255339,54089.0,338462.82,5676771.23,339013.855,5677736.125,200.0,273.0,1843.39,2170.0
2446,70788.0,321397.55,5672828.595000001,346544.84,5677047.455,1700.0,1892.0,31896.590000000004,33915.0
230321,62478.0,344210.355,5683059.025,345953.065,5715701.4350000005,1913.0,2302.0,41669.46999999998,41592.0
130495,46795.0,345293.485,5677093.3100000005,340874.775,5687283.225000001,1312.0,1392.0,19109.150000000005,19193.0
259975,61373.0,358191.45999999996,5645378.77,345367.96,5676645.9,2016.0,2369.0,41403.64000000004,41296.0
176093,22045.0,341516.97,5668855.915000001,345785.63,5676649.870000001,1458.0,1105.0,12038.969999999996,12651.0
